"isolamento","temperatura","consumo","consumor"
"antes",-0.8,7.2,0.20388096
"antes",-0.7,6.9,0.19538592
"antes",0.4,6.4,0.18122752
"antes",2.5,6,0.1699008
"antes",2.9,5.8,0.16423744
"antes",3.2,5.8,0.16423744
"antes",3.6,5.6,0.15857408
"antes",3.9,4.7,0.13308896
"antes",4.2,5.8,0.16423744
"antes",4.3,5.2,0.14724736
"antes",5.4,4.9,0.13875232
"antes",6,4.9,0.13875232
"antes",6,4.3,0.12176224
"antes",6,4.4,0.12459392
"antes",6.2,4.5,0.1274256
"antes",6.3,4.6,0.13025728
"antes",6.9,3.7,0.10477216
"antes",7,3.9,0.11043552
"antes",7.4,4.2,0.11893056
"antes",7.5,4,0.1132672
"antes",7.5,3.9,0.11043552
"antes",7.6,3.5,0.0991088
"antes",8,4,0.1132672
"antes",8.5,3.6,0.10194048
"antes",9.1,3.1,0.08778208
"antes",10.2,2.6,0.07362368
"depois",-0.7,4.8,0.13592064
"depois",0.8,4.6,0.13025728
"depois",1,4.7,0.13308896
"depois",1.4,4,0.1132672
"depois",1.5,4.2,0.11893056
"depois",1.6,4.2,0.11893056
"depois",2.3,4.1,0.11609888
"depois",2.5,4,0.1132672
"depois",2.5,3.5,0.0991088
"depois",3.1,3.2,0.09061376
"depois",3.9,3.9,0.11043552
"depois",4,3.5,0.0991088
"depois",4,3.7,0.10477216
"depois",4.2,3.5,0.0991088
"depois",4.3,3.5,0.0991088
"depois",4.6,3.7,0.10477216
"depois",4.7,3.5,0.0991088
"depois",4.9,3.4,0.09627712
"depois",4.9,3.7,0.10477216
"depois",4.9,4,0.1132672
"depois",5,3.6,0.10194048
"depois",5.3,3.7,0.10477216
"depois",6.2,2.8,0.07928704
"depois",7.1,3,0.0849504
"depois",7.2,2.8,0.07928704
"depois",7.5,2.6,0.07362368
"depois",8,2.7,0.07645536
"depois",8.7,2.8,0.07928704
"depois",8.8,1.3,0.03681184
"depois",9.7,1.5,0.0424752
