"torax","longevidade","grupo"
0.68,37,"D"
0.68,49,"D"
0.72,46,"D"
0.72,63,"D"
0.76,39,"D"
0.76,46,"D"
0.76,56,"D"
0.76,63,"D"
0.76,65,"D"
0.8,56,"D"
0.8,65,"D"
0.8,70,"D"
0.84,63,"D"
0.84,65,"D"
0.84,70,"D"
0.84,77,"D"
0.84,81,"D"
0.84,86,"D"
0.88,70,"D"
0.88,70,"D"
0.92,77,"D"
0.92,77,"D"
0.92,81,"D"
0.94,77,"D"
0.64,40,"A"
0.7,37,"A"
0.72,44,"A"
0.72,47,"A"
0.72,47,"A"
0.76,47,"A"
0.78,68,"A"
0.8,47,"A"
0.84,54,"A"
0.84,61,"A"
0.84,71,"A"
0.84,75,"A"
0.84,89,"A"
0.88,58,"A"
0.88,59,"A"
0.88,62,"A"
0.88,79,"A"
0.88,96,"A"
0.92,58,"A"
0.92,62,"A"
0.92,70,"A"
0.92,72,"A"
0.92,75,"A"
0.92,96,"A"
0.94,75,"A"
0.64,46,"B"
0.68,42,"B"
0.72,65,"B"
0.76,46,"B"
0.76,58,"B"
0.8,42,"B"
0.8,48,"B"
0.8,58,"B"
0.82,50,"B"
0.82,80,"B"
0.84,63,"B"
0.84,65,"B"
0.84,70,"B"
0.84,70,"B"
0.84,72,"B"
0.84,97,"B"
0.88,46,"B"
0.88,56,"B"
0.88,70,"B"
0.88,70,"B"
0.88,72,"B"
0.88,76,"B"
0.88,90,"B"
0.92,76,"B"
0.92,92,"B"
0.68,21,"C"
0.68,40,"C"
0.72,44,"C"
0.76,54,"C"
0.78,36,"C"
0.8,40,"C"
0.8,56,"C"
0.8,60,"C"
0.84,48,"C"
0.84,53,"C"
0.84,60,"C"
0.84,60,"C"
0.84,65,"C"
0.84,68,"C"
0.88,60,"C"
0.88,81,"C"
0.88,81,"C"
0.9,48,"C"
0.9,48,"C"
0.9,56,"C"
0.9,68,"C"
0.9,75,"C"
0.9,81,"C"
0.92,48,"C"
0.92,68,"C"
0.64,16,"E"
0.64,19,"E"
0.68,19,"E"
0.72,32,"E"
0.72,33,"E"
0.74,33,"E"
0.76,30,"E"
0.76,42,"E"
0.76,42,"E"
0.78,33,"E"
0.8,26,"E"
0.8,30,"E"
0.82,40,"E"
0.82,54,"E"
0.84,34,"E"
0.84,34,"E"
0.84,47,"E"
0.84,47,"E"
0.88,42,"E"
0.88,47,"E"
0.88,54,"E"
0.88,54,"E"
0.88,56,"E"
0.88,60,"E"
0.92,44,"E"
